a,RMSE,Mean,RMSE - Decentered Loss
18.8,702.5510511671287,-147.36534574394227,728.7565632971326
18.85,702.6655218536226,-149.65466710014343,729.2229445150986
18.9,703.6479283695572,-152.1467460205078,729.7384570837999
18.95,704.1040566907728,-154.49651814689636,730.2319888514404
19.0,704.5023559282852,-157.04271007385253,730.7749285585514
19.05,704.9626183890088,-159.55755862617494,731.3194910141267
19.1,705.5404395615791,-162.05465139961242,731.8683580143809
19.15,706.1905279354517,-164.74737811088562,732.4693044877902
19.2,706.9620009304748,-167.4864848400116,733.090244121745
19.25,707.4337035362602,-170.68159688529968,733.8268126320623
19.3,708.0388964868549,-173.11949019088746,734.3976724543514
19.35,708.5999749835672,-176.16947185287475,735.1226198637455
19.4,709.532665118534,-179.0396829986572,735.8157320353213
19.45,710.4054902193236,-181.77952685623168,736.4871891665812
19.5,710.7058174128325,-184.8815312122345,737.2589531540438
19.55,712.1281747747048,-187.64236936454773,737.9561248496806
19.6,712.6312469883893,-190.36945056495665,738.6542568284701
19.65,713.4164145452079,-193.71739862709046,739.5241807765741
19.7,714.2173079796046,-197.02214992485045,740.3967254002588
19.75,714.733170019641,-199.47163873443603,741.0523045519914
19.8,715.5546035002036,-202.94743088722228,741.9954468365288
19.85,716.2645906730959,-206.0644605304718,742.8540538464675
19.9,717.2681650890734,-209.29639385185243,743.7570597324141
19.95,718.7490042263181,-212.4517462738037,744.6511451123973
20.0,719.6845300221572,-215.77241698303223,745.6053375299264
20.05,720.368681897115,-218.72044197425842,746.4638069992617
20.1,721.4349673634817,-221.98228226470948,747.4260612675112
20.15,722.2553497765017,-225.14981506195068,748.3729168301367
20.2,723.749610047811,-228.59998799095155,749.4181329083779
20.25,724.7472037258289,-232.10303418769837,750.494105174419
20.3,725.7568450048027,-235.2905954574585,751.486026305973
20.35,726.7235144841438,-238.88205524024963,752.6182430277795
20.4,728.3011134646771,-242.27968797149657,753.7035429304958
20.45,728.7864463573193,-245.7107607471466,754.8134613064062
20.5,730.0562041951405,-249.09774988822937,755.9227952785886
20.55,731.149908219656,-253.11985508003235,757.2577133698622
20.6,732.7201348387027,-256.5838886917114,758.4226231848418
20.65,733.7727993706491,-260.58185109100344,759.7844987497638
20.7,734.9939711062138,-264.1975786567688,761.032157001605
20.75,736.8766428592448,-268.10302112312314,762.3967558678105
20.8,738.3639686092521,-272.17639540634156,763.8387091780603
20.85,739.752772588174,-275.9070322879791,765.1759757652981
